Wall time,Step,Value
1725013787.4446862,86400,0.1721762716770172
1725013871.3687184,138400,0.16842296719551086
1725013963.864136,196000,0.15457606315612793
1725013982.6442947,208000,0.2440061867237091
1725014169.278517,322400,0.2052314430475235
1725014249.36779,372800,0.17509953677654266
1725014304.2579093,408800,0.11012636125087738
1725014338.515247,431200,0.12749487161636353
1725014362.287207,445600,0.14011523127555847
1725014412.5138617,477600,0.14693650603294373
1725014491.8213022,527200,0.16032275557518005
1725014622.8563926,612000,0.15309786796569824
1725014673.1392674,644000,0.16306456923484802
1725014749.7610373,693600,0.20393207669258118
1725014774.1551416,709600,0.11298684775829315
1725014933.6197052,812800,0.15840157866477966
1725014947.035282,821600,0.22031065821647644
1725014961.1261747,830400,0.16173356771469116
1725015070.3444324,900800,0.15471504628658295
1725015078.9029531,906400,0.13340628147125244
1725015181.081561,948416,0.13144713640213013
1725015196.9782977,958016,0.14626434445381165
1725015207.6128192,964416,0.1661408245563507
1725015299.4334676,1018816,0.15214303135871887
1725015324.4331853,1034016,0.11930249631404877
1725015466.8239214,1118016,0.14296692609786987
1725015520.89286,1150816,0.31139707565307617
1725015576.747688,1183616,0.14381298422813416
1725015624.4458969,1212416,0.15646064281463623
1725015645.4074423,1225216,0.1351090371608734
1725015649.2482839,1227616,0.26920121908187866
1725015697.3547432,1255616,0.12601545453071594
1725015720.1184113,1269216,0.13168933987617493
1725015859.2326877,1353216,0.13191363215446472
1725016217.2315702,1569216,0.11770131438970566
1725016243.565218,1585216,0.1365305781364441
1725016244.747977,1586016,0.16317686438560486
1725016770.281742,1904416,0.13272854685783386
1725016871.721433,1966016,0.16304732859134674
1725016878.368014,1970016,0.11491860449314117
1725016907.4692736,1986816,0.14365410804748535
1725016911.17333,1989216,0.11365745216608047
1725016960.3832738,2019616,0.2293659746646881
1725017058.3474786,2078816,0.169876828789711
1725017134.815195,2125216,0.12267500162124634
1725017145.0183997,2131616,0.1544719934463501
1725017198.0529902,2164416,0.17279207706451416
1725017209.8202772,2171616,0.138647198677063
1725017231.1548784,2183616,0.19212590157985687
1725017242.892723,2190816,0.19154790043830872
1725017308.7302651,2231616,0.14083565771579742
1725017332.402802,2245216,0.19015249609947205
1725017408.695883,2292416,0.10729753226041794
1725017579.2485712,2395616,0.1716727912425995
1725017725.6604521,2483616,0.11289084702730179
1725017752.4386866,2500416,0.24495431780815125
1725017753.7792475,2501216,0.1402006447315216
1725017806.069819,2533216,0.22616076469421387
1725017900.5719512,2590816,0.16942283511161804
1725017933.7654185,2610016,0.12830504775047302
1725017964.8601348,2629216,0.14716649055480957
1725018084.4221294,2702016,0.11519546806812286
1725018148.3699203,2740416,0.12311193346977234
1725018274.689636,2817216,0.13011671602725983
1725018308.4957392,2838016,0.13091729581356049
1725018362.0453181,2870016,0.11379806697368622
1725018406.15638,2897216,0.13355451822280884
1725018426.5826344,2910016,0.19914093613624573
1725018477.4823678,2940416,0.10346116125583649
1725018495.6528912,2951616,0.1103861927986145
1725018499.5449126,2954016,0.14190161228179932
1725018554.5375698,2986816,0.11847428232431412
1725018646.6853578,3042816,0.1628338098526001
1725018733.517238,3095616,0.13386330008506775
1725018822.5151823,3149216,0.146549791097641
1725018965.81148,3235616,0.1277894675731659
1725019079.1435046,3304416,0.11909422278404236
1725019094.4064906,3314016,0.12430889904499054
1725019173.7634504,3362016,0.12378405034542084
1725019187.8591337,3370816,0.15067645907402039
1725019232.9512436,3398816,0.1339244693517685
1725019353.1484659,3471616,0.12505273520946503
1725019367.8577635,3479616,0.11647451668977737
1725019643.3234043,3648416,0.15202534198760986
1725019677.2704113,3668416,0.10315191000699997
1725019789.2706342,3736416,0.15033739805221558
1725019842.433428,3769216,0.0943545550107956
1725020029.6105971,3882816,0.128140389919281
1725020034.729238,3886016,0.1304839849472046
1725020096.4237378,3922816,0.18471820652484894
1725020358.1457193,4080416,0.1500396430492401
1725020369.8939211,4087616,0.0912339985370636
1725020372.574761,4089216,0.14173702895641327
1725020431.2538402,4122816,0.0991634950041771
1725020436.4522731,4126016,0.19088095426559448
1725020462.7614257,4141216,0.11581452190876007
1725020507.3918567,4166816,0.11913874745368958
1725020524.5847063,4177216,0.1172909289598465
1725020557.5402973,4197216,0.11204472929239273
1725020608.0902665,4226816,0.16353780031204224
1725020652.0818815,4253216,0.11765517294406891
1725020743.7018871,4306816,0.11460017412900925
1725020798.066065,4339616,0.16490551829338074
1725020867.2750428,4380416,0.1353270262479782
1725021154.7842057,4550816,0.11981838196516037
